bathroomcnt,bedroomcnt,buildingqualitytypeid,calculatedfinishedsquarefeet,finishedsquarefeet12,garagecarcnt,garagetotalsqft,lotsizesquarefeet,poolcnt,roomcnt,unitcnt,yearbuilt,numberofstories,fips_6037.0,fips_6059.0,fips_6111.0,regionidcounty_1286.0,regionidcounty_2061.0,regionidcounty_3101.0,log_garagetotalsqft,log_lotsizesquarefeet,log_calculatedfinishedsquarefeet,calc_bedbath,prod_bathroomcnt_bedroomcnt,taxvaluedollarcnt
2,3,8.0,1337.0,1337.0,1,0.0,9999.0,1.0,0,1,1989.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.210340371976184,7.198931240688173,0.6666666666666666,6,582011.0
2,3,8.0,1340.0,1340.0,2,420.0,1199.0,1.0,6,1,1980.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,6.042632833682381,7.090076835776092,7.201170883281678,0.6666666666666666,6,319668.0
2,3,8.0,1371.0,1371.0,2,447.0,3445.0,1.0,5,1,2004.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,6.104793232414985,8.144969417087875,7.22402480828583,0.6666666666666666,6,198054.0
2,4,8.0,1677.0,1677.0,2,420.0,5304.0,1.0,8,1,1981.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.042632833682381,8.576405051048084,7.425357887027151,0.5,8,528847.0
3,3,8.0,1435.0,1435.0,2,443.5,45171.0,1.0,0,1,1981.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,10.718232704843562,7.269616749608169,1.0,9,259197.0
1,2,4.0,1146.0,1146.0,2,443.5,4657.0,1.0,0,1,1939.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.446341450444287,7.044905117129371,0.5,2,273745.0
2,3,6.0,1092.0,1092.0,2,443.5,36005.0,1.0,0,1,1979.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,10.491440870217568,6.996681488176539,0.6666666666666666,6,178646.0
2,3,8.0,2074.0,2074.0,2,485.0,5600.0,1.0,7,1,1978.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,6.186208623900494,8.630700432209832,7.637716432664798,0.6666666666666666,6,597213.0
2,3,8.0,2018.0,2018.0,2,446.0,2800.0,1.0,0,1,1998.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.102558594613569,7.937731775260109,7.610357618312838,0.6666666666666666,6,534612.0
1,2,5.0,1316.0,1316.0,2,443.5,5091.0,1.0,0,1,1908.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.535425959677298,7.183111701743281,0.5,2,171838.0
3,2,9.0,2126.0,2126.0,2,443.5,221601.0,1.0,0,1,1983.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,12.308638259085296,7.6624678152002375,1.5,6,573247.0
1,3,4.0,1641.0,1641.0,2,443.5,5302.0,1.0,0,1,1944.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.57602797713713,7.403670290012373,0.3333333333333333,3,432754.0
2,3,6.0,1538.0,1538.0,2,443.5,5997.0,1.0,0,1,1972.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.699181359308954,7.338888133838879,0.6666666666666666,6,401399.0
2,3,4.0,1851.0,1851.0,2,443.5,6714.0,1.0,0,1,1920.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.812099108957337,7.524021415206125,0.6666666666666666,6,85035.0
3,2,8.0,3230.0,3230.0,3,744.0,18200.0,1.0,8,1,1967.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.61338421837956,9.809231816610408,8.080546965824498,1.5,6,954106.0
3,4,8.0,2447.0,2447.0,2,443.5,7911.0,1.0,0,1,1967.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.976135873302548,7.803026643632217,0.75,12,1083000.0
2,4,8.0,1987.0,1987.0,2,448.0,3600.0,1.0,0,1,1989.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.1070228877422545,8.188966863648876,7.59488438721652,0.5,8,703127.0
1,1,8.0,630.0,630.0,1,0.0,1819.0,1.0,0,1,1992.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.506591780070841,6.447305862541213,1.0,1,183187.0
2,4,8.0,1979.0,1979.0,2,446.0,3936.0,1.0,8,1,1977.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,6.102558594613569,8.278174290943738,7.590852123688581,0.5,8,800017.0
3,3,7.0,2637.0,2637.0,2,443.5,8968.0,1.0,0,1,1952.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,9.101529466118004,7.87777633327726,1.0,9,833227.0
2,5,6.0,1818.0,1818.0,2,443.5,7499.0,1.0,0,1,1948.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.922658299524402,7.506042178518122,0.4,10,166428.0
3,4,6.0,3160.0,3160.0,2,443.5,16506.0,1.0,0,1,1941.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,9.71153981234754,8.058643712215618,0.75,12,691816.0
2,2,6.0,1529.0,1529.0,2,443.5,3640.0,1.0,0,1,1928.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.200013648175434,7.333023014386481,1.0,4,657099.0
2,3,6.0,1447.0,1447.0,2,443.5,7283.0,1.0,0,1,1901.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.8934354408475,7.277938572945661,0.6666666666666666,6,70755.0
2,2,6.0,829.0,829.0,2,443.5,16378.0,1.0,0,1,1991.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,9.70375530548238,6.721425700790643,1.0,4,276147.0
3,2,7.0,1110.0,1110.0,2,443.5,8500.0,1.0,0,1,2006.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,9.04793908261736,7.01301578963963,1.5,6,563000.0
1,3,5.0,872.0,872.0,2,443.5,5566.0,1.0,0,1,1922.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.624611588183507,6.771935555839602,0.3333333333333333,3,248916.0
3,4,6.0,2317.0,2317.0,2,443.5,8703.0,1.0,0,1,1953.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,9.071537969095724,7.748460023899697,0.75,12,309821.0
2,2,8.0,1660.0,1660.0,2,443.5,1224.0,1.0,0,1,1987.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,7.110696122978827,7.415175109613295,1.0,4,341921.0
2,3,8.0,1734.0,1734.0,2,465.0,2765.0,1.0,0,1,2000.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.144185634125646,7.925157512224703,7.45876269238096,0.6666666666666666,6,638000.0
2,3,8.0,1815.0,1815.0,2,443.5,10311.0,1.0,0,1,1958.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,9.241063544619024,7.504391559161238,0.6666666666666666,6,103293.0
1,2,5.0,609.0,609.0,2,443.5,8997.0,1.0,0,1,1948.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,9.104757609401117,6.413458957167357,0.5,2,162320.0
4,2,8.0,4018.0,4018.0,2,0.0,7200.0,1.0,6,1,1991.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.881975184248867,8.2987883944492,2.0,8,1044060.0
3,3,8.0,2380.0,2380.0,2,443.5,9960.0,1.0,0,1,1991.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,9.206432747145165,7.7752758464868625,1.0,9,654279.0
4,4,8.0,3415.0,3415.0,2,589.0,6185.0,1.0,0,1,1999.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.380122536899765,8.730043953245016,8.13622555490846,1.0,16,579059.0
2,2,8.0,1367.0,1367.0,2,504.0,6000.0,1.0,6,1,2014.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.22455842927536,8.699681400989514,7.221105098182496,1.0,4,815542.0
2,2,7.0,1814.0,1814.0,2,443.5,5372.0,1.0,0,1,1962.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.589141690728821,7.503840746698951,1.0,4,310117.0
1,0,8.0,440.0,440.0,2,443.5,433845.0,1.0,0,1,1973.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,12.980444911402714,6.089044875446846,1.0,0,260000.0
1,2,4.0,928.0,928.0,2,443.5,13360.0,1.0,0,1,1948.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,9.500095294588894,6.834108738813838,0.5,2,241624.0
2,3,8.0,1463.0,1463.0,2,443.5,12113.0,1.0,0,1,1984.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,9.402117087540892,7.288927694521257,0.6666666666666666,6,200726.0
2,3,8.0,1481.0,1481.0,2,452.0,10112.0,1.0,6,1,1962.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.115892125483034,9.221577003902171,7.301147805856032,0.6666666666666666,6,606645.0
2,4,8.0,1625.0,1625.0,2,443.5,8427.0,1.0,0,1,1956.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,9.03931477492408,7.3938782901077555,0.5,8,97097.0
3,3,8.0,1820.0,1820.0,2,443.5,71332.0,1.0,0,1,2006.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,11.175114332427764,7.507141079727608,1.0,9,853937.0
1,2,4.0,812.0,812.0,2,443.5,7150.0,1.0,0,1,1917.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.875007486048396,6.70073110954781,0.5,2,40746.0
3,3,8.0,2406.0,2406.0,2,443.5,7245.0,1.0,0,1,1979.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.888204871455022,7.786136437783072,1.0,9,605540.0
1,2,4.0,776.0,776.0,2,443.5,7055.0,1.0,0,1,1946.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.861633597686627,6.655440350367647,0.5,2,164836.0
2,3,4.0,1059.0,1059.0,2,443.5,7215.0,1.0,0,1,1955.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.88405606174246,6.966024187106113,0.6666666666666666,6,187119.0
4,5,7.0,5900.0,5900.0,2,443.5,35174.0,1.0,0,1,1989.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,10.46809088198259,8.682877107057168,0.8,20,737397.0
5,5,9.0,5823.0,5823.0,2,443.5,10010.0,1.0,0,1,1998.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,9.211439767419483,8.669742589876522,1.0,25,852836.0
2,3,4.0,1457.0,1457.0,2,443.5,5457.0,1.0,0,1,1944.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.604837701268284,7.284820912568604,0.6666666666666666,6,334119.0
2,2,8.0,1442.0,1442.0,1,0.0,7200.0,1.0,4,1,2007.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.881975184248867,7.274479558773871,1.0,4,597000.0
1,1,6.0,662.0,662.0,2,443.5,91867.0,1.0,0,1,1984.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,11.428108043136305,6.4967749901858625,1.0,1,96318.0
2,3,8.0,1152.0,1152.0,2,460.0,8597.0,1.0,6,1,1971.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.133398042996649,9.059284897056227,7.050122520269059,0.6666666666666666,6,218510.0
2,3,8.0,1607.0,1607.0,2,443.5,10520.0,1.0,0,1,1939.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,9.261128538808288,7.382746449738912,0.6666666666666666,6,963231.0
2,3,8.0,2283.0,2283.0,2,491.0,3112.0,1.0,0,1,2006.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.198478716492308,8.043342170441608,7.7336835707759,0.6666666666666666,6,730498.0
1,2,4.0,1027.0,1027.0,2,443.5,5574.0,1.0,0,1,1951.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.62604759632832,6.93537044601511,0.5,2,49034.0
3,5,8.0,2453.0,2453.0,2,636.0,5610.0,1.0,0,1,1999.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.456769655572163,8.632484235750972,7.805474625270857,0.6,15,473286.0
3,3,6.0,1236.0,1236.0,2,443.5,35886.0,1.0,0,1,1991.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,10.488130391904537,7.1204443723924875,1.0,9,588514.0
2,2,8.0,1164.0,1164.0,2,0.0,7200.0,1.0,4,1,1985.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.881975184248867,7.060476365999801,1.0,4,240632.0
1,2,4.0,1121.0,1121.0,2,443.5,6055.0,1.0,0,1,1940.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.708804795117285,7.022868086082641,0.5,2,72867.0
1,2,4.0,847.0,847.0,2,443.5,5025.0,1.0,0,1,1938.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.522379718103538,6.742880635791903,0.5,2,214354.0
2,4,8.0,1266.0,1266.0,2,441.0,7200.0,1.0,6,1,1961.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.091309882077698,8.881975184248867,7.144407180321139,0.5,8,465990.0
2,1,7.0,1164.0,1164.0,2,443.5,37501.0,1.0,0,1,1974.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,10.532149543869664,7.060476365999801,2.0,2,654835.0
1,2,4.0,1070.0,1070.0,2,443.5,4829.0,1.0,0,1,1937.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.482601746646619,6.976348070447749,0.5,2,141693.0
0,0,8.0,4198.0,1503.0,1,0.0,6187.0,1.0,0,4,1977.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.730367211692958,8.342601680684194,1.0,0,480448.0
2,3,8.0,1360.0,1360.0,2,420.0,3549.0,1.0,6,1,1971.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,6.042632833682381,8.174702882469461,7.215975002651466,0.6666666666666666,6,265259.0
2,2,8.0,949.0,949.0,2,443.5,15060.0,1.0,0,1,1964.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,9.619863900211849,6.856461984594587,1.0,4,105933.0
2,2,8.0,1810.0,1810.0,2,443.5,7210.0,1.0,0,1,1956.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.88336291691676,7.501634457883413,1.0,4,144688.0
2,3,6.0,1244.0,1244.0,2,443.5,7501.0,1.0,0,1,1954.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.922924930641832,7.126890808898808,0.6666666666666666,6,199420.0
3,5,8.0,2468.0,2468.0,2,630.0,7000.0,1.0,9,1,1966.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,6.447305862541213,8.853808274977197,7.81156848934518,0.6,15,541129.0
2,3,8.0,1410.0,1410.0,2,443.5,4816.0,1.0,0,1,1980.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.479906606630221,7.252053951852814,0.6666666666666666,6,406099.0
3,3,6.0,2581.0,2581.0,2,443.5,6994.0,1.0,0,1,1939.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.852950887099581,7.856319571406588,1.0,9,1070352.0
2,2,8.0,1245.0,1245.0,2,443.5,179588.0,1.0,0,1,1979.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,12.098426185758512,7.1276936993473985,1.0,4,192441.0
2,3,8.0,1270.0,1270.0,2,444.0,1944.0,1.0,6,1,1973.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,6.09807428216624,7.573017256052546,7.147559271189454,0.6666666666666666,6,553311.0
2,2,6.0,1159.0,1159.0,2,443.5,52158.0,1.0,0,1,1973.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,10.862052024637613,7.05617528410041,1.0,4,292206.0
3,2,8.0,1302.0,1302.0,2,443.5,20150.0,1.0,0,1,1979.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,9.911009193934975,7.172424577124845,1.5,6,330276.0
3,3,8.0,2007.0,2007.0,2,495.0,9040.0,1.0,7,1,1963.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,6.206575926724928,9.109525066737367,7.60489448081162,1.0,9,633122.0
1,3,5.0,1040.0,1040.0,2,443.5,5427.0,1.0,0,1,1923.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.59932602095476,6.947937068614969,0.3333333333333333,3,234319.0
1,3,4.0,968.0,968.0,2,443.5,7499.0,1.0,0,1,1951.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.922658299524402,6.876264611890766,0.3333333333333333,3,37210.0
2,3,8.0,1731.0,1731.0,2,400.0,8000.0,1.0,7,1,1963.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.993961427306569,8.987321812850125,7.4570320891223805,0.6666666666666666,6,73745.0
2,4,8.0,1623.0,1623.0,2,540.0,7100.0,1.0,0,1,1929.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.293419278846481,8.867990898182093,7.392647520721623,0.5,8,313973.0
3,3,8.0,3172.0,3172.0,2,443.5,14356.0,1.0,0,1,1966.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,9.571992907127694,8.062432791583195,1.0,9,700000.0
1,3,4.0,1206.0,1206.0,2,443.5,7415.0,1.0,0,1,1954.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.91139510724569,7.095893221097532,0.3333333333333333,3,52764.0
2,3,8.0,1560.0,1560.0,1,351.0,6180.0,1.0,6,1,1950.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.863631175598097,8.729235349659273,7.353081920515432,0.6666666666666666,6,56059.0
2,5,6.0,1901.0,1901.0,2,443.5,6693.0,1.0,0,1,1950.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.808966881771273,7.550661243105336,0.4,10,635000.0
2,3,8.0,1384.0,1384.0,1,360.0,6324.0,1.0,6,1,1955.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.8888779583328805,8.752265313595721,7.233455418621439,0.6666666666666666,6,288193.0
2,4,8.0,1482.0,1482.0,2,575.0,7904.0,1.0,7,1,1972.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.3561076606958915,8.975250749643573,7.301822342137932,0.5,8,289996.0
2,4,8.0,1658.0,1658.0,2,468.0,1632.0,1.0,6,1,1974.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,6.150602768446279,7.398174092970465,7.413970290190444,0.5,8,206365.0
3,2,6.0,1204.0,1204.0,2,443.5,58432.0,1.0,0,1,1981.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,10.975636077718386,7.094234845924755,1.5,6,189392.0
2,3,8.0,1441.0,1441.0,2,400.0,7215.0,1.0,7,1,1955.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.993961427306569,8.88405606174246,7.273786317844895,0.6666666666666666,6,315672.0
2,3,8.0,1270.0,1270.0,2,443.5,5836.0,1.0,0,1,1985.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.671972245203792,7.147559271189454,0.6666666666666666,6,282233.0
2,4,8.0,1392.0,1392.0,2,437.0,7300.0,1.0,6,1,1969.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.082218910376446,8.895766604056085,7.239214973779806,0.5,8,420525.0
1,1,8.0,455.0,455.0,1,216.0,1904.0,1.0,4,1,1922.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,5.37989735354046,7.552237287560802,6.1224928095143865,1.0,1,86152.0
1,0,6.0,690.0,690.0,2,443.5,15921.0,1.0,0,1,1911.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,9.675457079648524,6.53813982376767,1.0,0,412116.0
2,3,8.0,1270.0,1270.0,2,484.0,11200.0,1.0,6,1,1957.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.184148890937483,9.32375833901174,7.147559271189454,0.6666666666666666,6,77571.0
2,2,6.0,1353.0,1353.0,2,443.5,5802.0,1.0,0,1,1956.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.666130304190608,7.21081845347222,1.0,4,132508.0
1,1,8.0,495.0,495.0,2,443.5,70090.0,1.0,0,1,1963.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,11.157549676763116,6.206575926724928,1.0,1,135279.0
3,4,8.0,2342.0,2342.0,3,828.0,8644.0,1.0,7,1,1978.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.720220155135295,9.064736398117391,7.759187438507795,0.75,12,387648.0
3,5,8.0,2468.0,2468.0,2,483.0,9675.0,1.0,9,1,1965.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,6.182084906716632,9.177403871729918,7.81156848934518,0.6,15,705590.0
2,2,8.0,1376.0,1376.0,2,443.5,1757.0,1.0,0,1,1975.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,7.471932078245122,7.227662498728654,1.0,4,123877.0
4,5,8.0,3543.0,3543.0,2,577.0,7776.0,1.0,0,1,1996.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.359573868672378,8.958925938694943,8.173011311724972,0.8,20,502035.0
1,3,4.0,1295.0,1295.0,2,443.5,4795.0,1.0,0,1,1940.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.475537516147405,7.16703787691222,0.3333333333333333,3,192008.0
2,3,8.0,1538.0,1538.0,2,0.0,3974.0,1.0,0,1,1990.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.287780027088433,7.338888133838879,0.6666666666666666,6,515844.0
2,3,8.0,1440.0,1440.0,2,443.5,7915.0,1.0,0,1,1956.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.976641306722456,7.273092595999522,0.6666666666666666,6,84218.0
2,3,8.0,1632.0,1632.0,2,443.5,9654.0,1.0,0,1,1960.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,9.175231194862615,7.398174092970465,0.6666666666666666,6,631600.0
3,4,8.0,2521.0,2521.0,2,443.5,4976.0,1.0,0,1,1971.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.512582578858554,7.8328075165248645,0.75,12,128871.0
2,3,8.0,1346.0,1346.0,2,504.0,6275.0,1.0,6,1,1965.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.22455842927536,8.744488113852924,7.205635176410364,0.6666666666666666,6,206909.0
3,4,8.0,2088.0,2088.0,2,443.5,4920.0,1.0,0,1,1975.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.501267040865978,7.644440761556566,0.75,12,521000.0
2,4,6.0,1966.0,1966.0,2,443.5,7842.0,1.0,0,1,1960.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.967376693212666,7.584264818389059,0.5,8,419295.0
3,3,8.0,2728.0,2728.0,2,532.0,4000.0,1.0,6,1,1987.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,6.278521424165844,8.294299608857235,7.911690520708339,1.0,9,789179.0
2,3,6.0,1499.0,1499.0,2,443.5,6522.0,1.0,0,1,1947.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.783089671796096,7.313220387090301,0.6666666666666666,6,82798.0
2,4,6.0,1570.0,1570.0,2,443.5,8700.0,1.0,0,1,1958.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,9.071193240566025,7.359467638255621,0.5,8,249614.0
2,2,8.0,1937.0,1937.0,2,0.0,7200.0,1.0,6,1,1992.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.881975184248867,7.569411792450712,1.0,4,540544.0
3,4,8.0,2880.0,2880.0,2,552.0,7248.0,1.0,9,1,1966.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,6.315358001522335,8.888618807300878,7.9658927350845286,0.75,12,333437.0
1,3,4.0,1080.0,1080.0,2,443.5,6746.0,1.0,0,1,1948.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.816853240627426,6.985641817639208,0.3333333333333333,3,60632.0
3,4,8.0,3304.0,3304.0,2,620.0,9731.0,1.0,9,1,1989.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,6.431331081933479,9.183174703903413,8.103191752285786,0.75,12,524802.0
